active,rating,units,room_type,month_date,revenue,nn,free,revenue_usd,occupancy_rate,revpar_usd
true,4.7,1,entire_home,2026-02-01,3169.0,13,15,4120.0,0.46,1913.0
true,4.0,1,entire_home,2023-02-01,962.0,10,18,1251.0,0.36,447.0
true,4.9,1,entire_home,2023-02-01,1349.0,6,22,1754.0,0.21,376.0
true,5.0,1,entire_home,2025-02-01,9216.0,25,3,11981.0,0.89,10697.0
true,4.8,1,entire_home,2025-02-01,1726.0,13,15,2244.0,0.46,1042.0
true,4.8,1,entire_home,2026-02-01,781.0,7,21,1015.0,0.25,254.0
true,4.8,1,private_room,2024-02-01,393.0,7,22,511.0,0.24,123.0
true,4.8,1,private_room,2024-04-01,745.0,14,16,969.0,0.47,452.0
true,4.8,1,private_room,2024-06-01,703.0,12,18,914.0,0.4,366.0
true,4.8,1,private_room,2024-11-01,730.0,12,18,949.0,0.4,380.0
true,4.3,1,entire_home,2025-09-01,2782.0,10,20,3617.0,0.33,1206.0
true,4.3,1,entire_home,2026-02-01,4148.0,18,10,5392.0,0.64,3467.0
true,4.8,1,entire_home,2023-02-01,5842.0,27,1,7595.0,0.96,7323.0
true,4.9,1,private_room,2025-02-01,652.0,7,21,848.0,0.25,212.0
true,4.9,1,private_room,2026-02-01,1063.0,10,18,1382.0,0.36,494.0
true,4.3,1,private_room,2023-02-01,2550.0,25,3,3315.0,0.89,2960.0
true,4.5,1,entire_home,2024-09-01,3354.0,12,18,4360.0,0.4,1744.0
true,4.8,1,entire_home,2025-09-01,1698.0,14,16,2207.0,0.47,1030.0
true,4.8,1,entire_home,2026-02-01,624.0,6,22,811.0,0.21,174.0
true,4.8,1,entire_home,2025-02-01,4734.0,22,6,6154.0,0.79,4835.0
true,5.0,1,entire_home,2025-02-01,4370.0,25,3,5681.0,0.89,5072.0
true,5.0,1,entire_home,2026-02-01,190.0,1,27,247.0,0.04,9.0
true,4.9,1,entire_home,2024-02-01,3882.0,25,4,5047.0,0.86,4351.0
true,4.9,1,entire_home,2025-06-01,3006.0,14,16,3908.0,0.47,1824.0
true,4.9,1,entire_home,2026-02-01,1356.0,7,21,1763.0,0.25,441.0
true,4.9,1,private_room,2023-06-01,1374.0,14,16,1786.0,0.47,834.0
true,4.2,1,private_room,2022-11-01,3531.0,14,16,4590.0,0.47,2142.0
true,4.2,1,private_room,2023-02-01,190.0,1,27,247.0,0.04,9.0
true,4.2,1,private_room,2024-02-01,2446.0,10,19,3180.0,0.34,1096.0
true,4.2,1,private_room,2025-02-01,655.0,3,25,852.0,0.11,91.0
true,4.3,1,entire_home,2022-02-01,3132.0,13,15,4072.0,0.46,1890.0
true,4.3,1,entire_home,2023-02-01,4800.0,22,6,6240.0,0.79,4903.0
true,4.3,1,entire_home,2024-02-01,2214.0,10,19,2878.0,0.34,992.0
true,4.3,1,entire_home,2024-11-01,3393.0,14,16,4411.0,0.47,2058.0
true,4.3,1,entire_home,2025-02-01,731.0,3,25,950.0,0.11,102.0
true,5.0,1,entire_home,2022-02-01,1025.0,15,13,1333.0,0.54,714.0
true,5.0,1,entire_home,2023-11-01,736.0,12,18,957.0,0.4,383.0
true,4.9,1,entire_home,2023-02-01,1417.0,7,21,1842.0,0.25,461.0
true,4.9,1,entire_home,2023-04-01,2080.0,10,20,2704.0,0.33,901.0
true,4.9,1,entire_home,2025-02-01,2114.0,10,18,2748.0,0.36,982.0
true,4.9,1,entire_home,2025-06-01,3095.0,12,18,4024.0,0.4,1609.0
true,4.8,1,entire_home,2025-02-01,1174.0,22,6,1526.0,0.79,1199.0
true,4.9,1,entire_home,2025-02-01,8874.0,24,4,11536.0,0.86,9888.0
true,4.4,1,entire_home,2025-02-01,4410.0,21,7,5733.0,0.75,4300.0
true,4.4,1,entire_home,2026-02-01,841.0,4,24,1093.0,0.14,156.0
true,4.8,1,private_room,2024-02-01,1948.0,23,6,2532.0,0.79,2008.0
true,4.8,1,private_room,2025-02-01,2016.0,24,4,2621.0,0.86,2246.0
true,4.8,1,private_room,2025-04-01,829.0,12,18,1078.0,0.4,431.0
true,4.7,1,entire_home,2023-02-01,2097.0,6,22,2726.0,0.21,584.0
true,4.7,1,entire_home,2024-02-01,3459.0,8,21,4497.0,0.28,1240.0
true,4.8,2,entire_home,2025-08-01,2488.0,9,53,1617.0,0.15,470.0
true,4.2,1,entire_home,2024-09-01,922.0,10,20,1199.0,0.33,400.0
true,4.5,1,private_room,2025-02-01,1572.0,23,5,2044.0,0.82,1679.0
true,4.5,1,private_room,2026-02-01,1494.0,21,7,1942.0,0.75,1457.0
true,5.0,1,private_room,2022-02-01,1050.0,21,7,1365.0,0.75,1024.0
true,5.0,1,private_room,2023-02-01,1265.0,25,3,1645.0,0.89,1468.0
true,5.0,1,private_room,2025-02-01,1509.0,23,5,1962.0,0.82,1611.0
true,5.0,1,private_room,2025-04-01,968.0,14,16,1258.0,0.47,587.0
true,4.4,1,entire_home,2022-02-01,6288.0,23,5,8174.0,0.82,6715.0
